person1,person2,role1,role2,movie_id,movie_name,rating,year,cooperation_id
张艺谋,雷佳音,director,actor,8,满江红,7.0,0,张艺谋_雷佳音_8
张艺谋,岳云鹏,director,actor,8,满江红,7.0,0,张艺谋_岳云鹏_8
张艺谋,王佳怡,director,actor,8,满江红,7.0,0,张艺谋_王佳怡_8
张艺谋,潘斌龙,director,actor,8,满江红,7.0,0,张艺谋_潘斌龙_8
张艺谋,余皑磊,director,actor,8,满江红,7.0,0,张艺谋_余皑磊_8
张艺谋,郭京飞,director,actor,8,满江红,7.0,0,张艺谋_郭京飞_8
张艺谋,欧豪,director,actor,8,满江红,7.0,0,张艺谋_欧豪_8
张艺谋,魏翔,director,actor,8,满江红,7.0,0,张艺谋_魏翔_8
张艺谋,张弛,director,actor,8,满江红,7.0,0,张艺谋_张弛_8
张艺谋,黄炎,director,actor,8,满江红,7.0,0,张艺谋_黄炎_8
张艺谋,许静雅,director,actor,8,满江红,7.0,0,张艺谋_许静雅_8
张艺谋,蒋鹏宇,director,actor,8,满江红,7.0,0,张艺谋_蒋鹏宇_8
张艺谋,林博洋,director,actor,8,满江红,7.0,0,张艺谋_林博洋_8
张艺谋,飞凡,director,actor,8,满江红,7.0,0,张艺谋_飞凡_8
张艺谋,任思诺,director,actor,8,满江红,7.0,0,张艺谋_任思诺_8
张艺谋,陈永胜,director,actor,8,满江红,7.0,0,张艺谋_陈永胜_8
张艺谋,张壹男,director,actor,8,满江红,7.0,0,张艺谋_张壹男_8
尹丽川,咏梅,director,actor,9,出走的决心,8.8,0,尹丽川_咏梅_9
尹丽川,姜武,director,actor,9,出走的决心,8.8,0,尹丽川_姜武_9
尹丽川,吴倩,director,actor,9,出走的决心,8.8,0,尹丽川_吴倩_9
尹丽川,张本煜,director,actor,9,出走的决心,8.8,0,尹丽川_张本煜_9
尹丽川,马苏,director,actor,9,出走的决心,8.8,0,尹丽川_马苏_9
尹丽川,艾丽娅,director,actor,9,出走的决心,8.8,0,尹丽川_艾丽娅_9
尹丽川,李易祥,director,actor,9,出走的决心,8.8,0,尹丽川_李易祥_9
尹丽川,李嘉鑫,director,actor,9,出走的决心,8.8,0,尹丽川_李嘉鑫_9
尹丽川,吴泽南,director,actor,9,出走的决心,8.8,0,尹丽川_吴泽南_9
尹丽川,陈玺旭,director,actor,9,出走的决心,8.8,0,尹丽川_陈玺旭_9
崔月梅,刘源,director,director,10,聊斋：兰若寺,6.7,0,崔月梅_刘源_10
崔月梅,谢君伟,director,director,10,聊斋：兰若寺,6.7,0,崔月梅_谢君伟_10
崔月梅,邹靖,director,director,10,聊斋：兰若寺,6.7,0,崔月梅_邹靖_10
崔月梅,黄鹤宇,director,director,10,聊斋：兰若寺,6.7,0,崔月梅_黄鹤宇_10
崔月梅,刘一林,director,director,10,聊斋：兰若寺,6.7,0,崔月梅_刘一林_10
刘源,谢君伟,director,director,10,聊斋：兰若寺,6.7,0,刘源_谢君伟_10
刘源,邹靖,director,director,10,聊斋：兰若寺,6.7,0,刘源_邹靖_10
刘源,黄鹤宇,director,director,10,聊斋：兰若寺,6.7,0,刘源_黄鹤宇_10
刘源,刘一林,director,director,10,聊斋：兰若寺,6.7,0,刘源_刘一林_10
谢君伟,邹靖,director,director,10,聊斋：兰若寺,6.7,0,谢君伟_邹靖_10
谢君伟,黄鹤宇,director,director,10,聊斋：兰若寺,6.7,0,谢君伟_黄鹤宇_10
谢君伟,刘一林,director,director,10,聊斋：兰若寺,6.7,0,谢君伟_刘一林_10
邹靖,黄鹤宇,director,director,10,聊斋：兰若寺,6.7,0,邹靖_黄鹤宇_10
邹靖,刘一林,director,director,10,聊斋：兰若寺,6.7,0,邹靖_刘一林_10
黄鹤宇,刘一林,director,director,10,聊斋：兰若寺,6.7,0,黄鹤宇_刘一林_10
崔月梅,卢力峰,director,actor,10,聊斋：兰若寺,6.7,0,崔月梅_卢力峰_10
崔月梅,林强,director,actor,10,聊斋：兰若寺,6.7,0,崔月梅_林强_10
崔月梅,张赫,director,actor,10,聊斋：兰若寺,6.7,0,崔月梅_张赫_10
崔月梅,陈子平,director,actor,10,聊斋：兰若寺,6.7,0,崔月梅_陈子平_10
